model,landscape,replicate,fixed_site,data_split,mean_absolute_effects
blstm,k2,r0,5,E,0.14845192
blstm,k2,r0,5,F,0.12330016
blstm,k2,r0,5,C,0.13966073
blstm,k2,r0,5,D,0.15001054
blstm,k2,r0,5,G,0.14063092
blstm,k2,r5,0,E,0.13477527
blstm,k2,r5,0,F,0.1427865
blstm,k2,r5,0,C,0.13085921
blstm,k2,r5,0,D,0.13889259
blstm,k2,r5,0,G,0.14099532
blstm,k2,r5,1,E,0.09865984
blstm,k2,r5,1,F,0.11224351
blstm,k2,r5,1,C,0.09867181
blstm,k2,r5,1,D,0.10684088
blstm,k2,r5,1,G,0.091497354
blstm,k2,r5,2,E,0.1335074
blstm,k2,r5,2,F,0.1274666
blstm,k2,r5,2,C,0.13000317
blstm,k2,r5,2,D,0.13139996
blstm,k2,r5,2,G,0.13760364
blstm,k2,r5,3,E,0.11933337
blstm,k2,r5,3,F,0.11911115
blstm,k2,r5,3,C,0.10923367
blstm,k2,r5,3,D,0.11331454
blstm,k2,r5,3,G,0.12545933
blstm,k2,r5,4,E,0.10261356
blstm,k2,r5,4,F,0.09334497
blstm,k2,r5,4,C,0.10207109
blstm,k2,r5,4,D,0.09424279
blstm,k2,r5,4,G,0.0957691
blstm,k2,r5,5,E,0.11243436
blstm,k2,r5,5,F,0.11473139
blstm,k2,r5,5,C,0.10743258
blstm,k2,r5,5,D,0.106540866
blstm,k2,r5,5,G,0.124353506
blstm,k2,r6,0,E,0.09463264
blstm,k2,r6,0,F,0.095012836
blstm,k2,r6,0,C,0.09688755
blstm,k2,r6,0,D,0.0926736
blstm,k2,r6,0,G,0.08806976
blstm,k2,r6,1,E,0.13746136
blstm,k2,r6,1,F,0.1612443
blstm,k2,r6,1,C,0.13830064
blstm,k2,r6,1,D,0.14484482
blstm,k2,r6,1,G,0.15062463
blstm,k2,r6,2,E,0.11518956
blstm,k2,r6,2,F,0.12077733
blstm,k2,r6,2,C,0.12214079
blstm,k2,r6,2,D,0.107982695
blstm,k2,r6,2,G,0.13172099
blstm,k2,r6,3,E,0.09952985
blstm,k2,r6,3,F,0.11196777
blstm,k2,r6,3,C,0.091464244
blstm,k2,r6,3,D,0.10064931
blstm,k2,r6,3,G,0.09642524
blstm,k2,r6,4,E,0.08267517
blstm,k2,r6,4,F,0.078748204
blstm,k2,r6,4,C,0.078543894
blstm,k2,r6,4,D,0.06736592
blstm,k2,r6,4,G,0.07350801
blstm,k2,r6,5,E,0.14590803
blstm,k2,r6,5,F,0.1383519
blstm,k2,r6,5,C,0.16783874
blstm,k2,r6,5,D,0.16749065
blstm,k2,r6,5,G,0.16087328
blstm,k2,r4,0,E,0.15536964
blstm,k2,r4,0,F,0.16401389
blstm,k2,r4,0,C,0.16767648
blstm,k2,r4,0,D,0.15664569
blstm,k2,r4,0,G,0.17385076
blstm,k2,r4,1,E,0.099364966
blstm,k2,r4,1,F,0.08226561
blstm,k2,r4,1,C,0.09261873
blstm,k2,r4,1,D,0.1024604
blstm,k2,r4,1,G,0.077354595
blstm,k2,r4,2,E,0.08852897
blstm,k2,r4,2,F,0.09278736
blstm,k2,r4,2,C,0.095003754
blstm,k2,r4,2,D,0.086686015
blstm,k2,r4,2,G,0.08185855
blstm,k2,r4,3,E,0.14571239
blstm,k2,r4,3,F,0.13450453
blstm,k2,r4,3,C,0.12550269
blstm,k2,r4,3,D,0.12978366
blstm,k2,r4,3,G,0.13629119
blstm,k2,r4,4,E,0.066129506
blstm,k2,r4,4,F,0.05859176
blstm,k2,r4,4,C,0.06306026
blstm,k2,r4,4,D,0.06725483
blstm,k2,r4,4,G,0.05965517
blstm,k2,r4,5,E,0.12695363
blstm,k2,r4,5,F,0.121760905
blstm,k2,r4,5,C,0.108473025
blstm,k2,r4,5,D,0.12553114
blstm,k2,r4,5,G,0.119302206
blstm,k3,r0,0,E,0.09097365
blstm,k3,r0,0,F,0.0889914
blstm,k3,r0,0,C,0.09164093
blstm,k3,r0,0,D,0.09267289
blstm,k3,r0,0,G,0.091169536
blstm,k3,r0,1,E,0.15226516
blstm,k3,r0,1,F,0.15505579
blstm,k3,r0,1,C,0.15622042
blstm,k3,r0,1,D,0.15431005
blstm,k3,r0,1,G,0.16133824
blstm,k3,r0,2,E,0.10952197
blstm,k3,r0,2,F,0.111694574
blstm,k3,r0,2,C,0.11087183
blstm,k3,r0,2,D,0.11016418
blstm,k3,r0,2,G,0.11734483
blstm,k3,r0,3,E,0.13755172
blstm,k3,r0,3,F,0.14151023
blstm,k3,r0,3,C,0.1350093
blstm,k3,r0,3,D,0.1464679
blstm,k3,r0,3,G,0.14208008
blstm,k3,r0,4,E,0.13618466
blstm,k3,r0,4,F,0.13631399
blstm,k3,r0,4,C,0.1423463
blstm,k3,r0,4,D,0.14193022
blstm,k3,r0,4,G,0.14043754
blstm,k3,r0,5,E,0.10731495
blstm,k3,r0,5,F,0.115850724
blstm,k3,r0,5,C,0.11036955
blstm,k3,r0,5,D,0.10495051
blstm,k3,r0,5,G,0.1077522
blstm,k3,r5,0,E,0.12900586
blstm,k3,r5,0,F,0.13300303
blstm,k3,r5,0,C,0.12328687
blstm,k3,r5,0,D,0.12935369
blstm,k3,r5,0,G,0.12583572
blstm,k3,r5,1,E,0.14720415
blstm,k3,r5,1,F,0.14670463
blstm,k3,r5,1,C,0.14286245
blstm,k3,r5,1,D,0.14959389
blstm,k3,r5,1,G,0.14465357
blstm,k3,r5,2,E,0.0911612
blstm,k3,r5,2,F,0.090675354
blstm,k3,r5,2,C,0.09410321
blstm,k3,r5,2,D,0.09101309
blstm,k3,r5,2,G,0.09500237
blstm,k3,r5,3,E,0.10872602
blstm,k3,r5,3,F,0.10923587
blstm,k3,r5,3,C,0.11386125
blstm,k3,r5,3,D,0.10819818
blstm,k3,r5,3,G,0.11360193
blstm,k3,r5,4,E,0.14493269
blstm,k3,r5,4,F,0.14507622
blstm,k3,r5,4,C,0.14172003
blstm,k3,r5,4,D,0.14364411
blstm,k3,r5,4,G,0.15158056
blstm,k3,r5,5,E,0.13920385
blstm,k3,r5,5,F,0.14080767
blstm,k3,r5,5,C,0.13499677
blstm,k3,r5,5,D,0.14208278
blstm,k3,r5,5,G,0.13352957
blstm,k3,r6,0,E,0.11813042
blstm,k3,r6,0,F,0.12669839
blstm,k3,r6,0,C,0.121520884
blstm,k3,r6,0,D,0.12868898
blstm,k3,r6,0,G,0.124402404
blstm,k3,r6,1,E,0.10162495
blstm,k3,r6,1,F,0.11003372
blstm,k3,r6,1,C,0.10379418
blstm,k3,r6,1,D,0.10315618
blstm,k3,r6,1,G,0.108725436
blstm,k3,r6,2,E,0.1296707
blstm,k3,r6,2,F,0.12994179
blstm,k3,r6,2,C,0.12067155
blstm,k3,r6,2,D,0.124747604
blstm,k3,r6,2,G,0.12589344
blstm,k3,r6,3,E,0.12344046
blstm,k3,r6,3,F,0.12201211
blstm,k3,r6,3,C,0.12753512
blstm,k3,r6,3,D,0.123470664
blstm,k3,r6,3,G,0.12757793
blstm,k3,r6,4,E,0.1191421
blstm,k3,r6,4,F,0.12462408
blstm,k3,r6,4,C,0.12587795
blstm,k3,r6,4,D,0.11854388
blstm,k3,r6,4,G,0.11850432
blstm,k3,r6,5,E,0.14260612
blstm,k3,r6,5,F,0.13641131
blstm,k3,r6,5,C,0.13533634
blstm,k3,r6,5,D,0.13375689
blstm,k3,r6,5,G,0.14260349
blstm,k3,r4,0,E,0.13025202
blstm,k3,r4,0,F,0.122218914
blstm,k3,r4,0,C,0.12678258
blstm,k3,r4,0,D,0.13468003
blstm,k3,r4,0,G,0.12959614
blstm,k3,r4,1,E,0.09235705
blstm,k3,r4,1,F,0.09250446
blstm,k3,r4,1,C,0.084659085
blstm,k3,r4,1,D,0.09572091
blstm,k3,r4,1,G,0.09022319
blstm,k3,r4,2,E,0.1456046
blstm,k3,r4,2,F,0.14478931
blstm,k3,r4,2,C,0.14858373
blstm,k3,r4,2,D,0.14342071
blstm,k3,r4,2,G,0.14471959
blstm,k3,r4,3,E,0.11298052
blstm,k3,r4,3,F,0.11431519
blstm,k3,r4,3,C,0.119852625
blstm,k3,r4,3,D,0.120938316
blstm,k3,r4,3,G,0.109653
blstm,k3,r4,4,E,0.13553265
blstm,k3,r4,4,F,0.1334711
blstm,k3,r4,4,C,0.12928748
blstm,k3,r4,4,D,0.12990849
blstm,k3,r4,4,G,0.12536594
blstm,k3,r4,5,E,0.16136386
blstm,k3,r4,5,F,0.15777156
blstm,k3,r4,5,C,0.16341683
blstm,k3,r4,5,D,0.16510154
blstm,k3,r4,5,G,0.15303686
blstm,k4,r0,0,E,0.15315954
blstm,k4,r0,0,F,0.15176724
blstm,k4,r0,0,C,0.15333271
blstm,k4,r0,0,D,0.15683833
blstm,k4,r0,0,G,0.15339124
blstm,k4,r0,1,E,0.14143422
blstm,k4,r0,1,F,0.14165804
blstm,k4,r0,1,C,0.13751301
blstm,k4,r0,1,D,0.14150539
blstm,k4,r0,1,G,0.14305468
blstm,k4,r0,2,E,0.12433119
blstm,k4,r0,2,F,0.12740548
blstm,k4,r0,2,C,0.12596503
blstm,k4,r0,2,D,0.12622356
blstm,k4,r0,2,G,0.1279358
blstm,k4,r0,3,E,0.12549894
blstm,k4,r0,3,F,0.12810574
blstm,k4,r0,3,C,0.12609401
blstm,k4,r0,3,D,0.12383191
blstm,k4,r0,3,G,0.1271665
blstm,k4,r0,4,E,0.153982
blstm,k4,r0,4,F,0.15323386
blstm,k4,r0,4,C,0.15389088
blstm,k4,r0,4,D,0.15313567
blstm,k4,r0,4,G,0.15627757
blstm,k4,r0,5,E,0.13749194
blstm,k4,r0,5,F,0.14241926
blstm,k4,r0,5,C,0.14153613
blstm,k4,r0,5,D,0.13905703
blstm,k4,r0,5,G,0.14221583
blstm,k4,r5,0,E,0.1500247
blstm,k4,r5,0,F,0.14862189
blstm,k4,r5,0,C,0.1489636
blstm,k4,r5,0,D,0.15044516
blstm,k4,r5,0,G,0.15000089
blstm,k4,r5,1,E,0.14908895
blstm,k4,r5,1,F,0.14724816
blstm,k4,r5,1,C,0.14900237
blstm,k4,r5,1,D,0.14777815
blstm,k4,r5,1,G,0.1498048
blstm,k4,r5,2,E,0.16426058
blstm,k4,r5,2,F,0.16517843
blstm,k4,r5,2,C,0.16324463
blstm,k4,r5,2,D,0.16185604
blstm,k4,r5,2,G,0.1629609
blstm,k4,r5,3,E,0.13476902
blstm,k4,r5,3,F,0.13188878
blstm,k4,r5,3,C,0.1360496
blstm,k4,r5,3,D,0.13543259
blstm,k4,r5,3,G,0.13750103
blstm,k4,r5,4,E,0.14875731
blstm,k4,r5,4,F,0.14669737
blstm,k4,r5,4,C,0.1502026
blstm,k4,r5,4,D,0.14977372
blstm,k4,r5,4,G,0.14909688
blstm,k4,r5,5,E,0.15272835
blstm,k4,r5,5,F,0.15078707
blstm,k4,r5,5,C,0.15015459
blstm,k4,r5,5,D,0.14746885
blstm,k4,r5,5,G,0.14952756
blstm,k4,r6,0,E,0.14225419
blstm,k4,r6,0,F,0.14732099
blstm,k4,r6,0,C,0.14568083
blstm,k4,r6,0,D,0.14739306
blstm,k4,r6,0,G,0.14558353
blstm,k4,r6,1,E,0.15749858
blstm,k4,r6,1,F,0.15829417
blstm,k4,r6,1,C,0.15889513
blstm,k4,r6,1,D,0.15651314
blstm,k4,r6,1,G,0.1633927
blstm,k4,r6,2,E,0.1450586
blstm,k4,r6,2,F,0.14469294
blstm,k4,r6,2,C,0.14503947
blstm,k4,r6,2,D,0.14444378
blstm,k4,r6,2,G,0.14836353
blstm,k4,r6,3,E,0.16051766
blstm,k4,r6,3,F,0.15612212
blstm,k4,r6,3,C,0.160447
blstm,k4,r6,3,D,0.15733317
blstm,k4,r6,3,G,0.15903577
blstm,k4,r6,4,E,0.11290211
blstm,k4,r6,4,F,0.11243097
blstm,k4,r6,4,C,0.10988129
blstm,k4,r6,4,D,0.112209626
blstm,k4,r6,4,G,0.111073986
blstm,k4,r6,5,E,0.14817894
blstm,k4,r6,5,F,0.14764935
blstm,k4,r6,5,C,0.14824317
blstm,k4,r6,5,D,0.14525987
blstm,k4,r6,5,G,0.14633755
blstm,k4,r4,0,E,0.14169563
blstm,k4,r4,0,F,0.14176972
blstm,k4,r4,0,C,0.13875227
blstm,k4,r4,0,D,0.14380376
blstm,k4,r4,0,G,0.13941629
blstm,k4,r4,1,E,0.13076578
blstm,k4,r4,1,F,0.12968414
blstm,k4,r4,1,C,0.1298649
blstm,k4,r4,1,D,0.12961715
blstm,k4,r4,1,G,0.12488993
blstm,k4,r4,2,E,0.15667216
blstm,k4,r4,2,F,0.15440327
blstm,k4,r4,2,C,0.15591712
blstm,k4,r4,2,D,0.15364446
blstm,k4,r4,2,G,0.15482123
blstm,k4,r4,3,E,0.15181711
blstm,k4,r4,3,F,0.1565644
blstm,k4,r4,3,C,0.15350787
blstm,k4,r4,3,D,0.15862757
blstm,k4,r4,3,G,0.15486282
blstm,k4,r4,4,E,0.12724993
blstm,k4,r4,4,F,0.12564297
blstm,k4,r4,4,C,0.1267459
blstm,k4,r4,4,D,0.12667933
blstm,k4,r4,4,G,0.12617344
blstm,k4,r4,5,E,0.14307721
blstm,k4,r4,5,F,0.14553156
blstm,k4,r4,5,C,0.14041628
blstm,k4,r4,5,D,0.13956887
blstm,k4,r4,5,G,0.14162238
blstm,k5,r0,0,E,0.15717486
blstm,k5,r0,0,F,0.1574875
blstm,k5,r0,0,C,0.15553632
blstm,k5,r0,0,D,0.15732656
blstm,k5,r0,0,G,0.15808539
blstm,k5,r0,1,E,0.15573877
blstm,k5,r0,1,F,0.15396504
blstm,k5,r0,1,C,0.15664808
blstm,k5,r0,1,D,0.15463153
blstm,k5,r0,1,G,0.15543249
blstm,k5,r0,2,E,0.15669744
blstm,k5,r0,2,F,0.15674774
blstm,k5,r0,2,C,0.15803301
blstm,k5,r0,2,D,0.15675612
blstm,k5,r0,2,G,0.15939766
blstm,k5,r0,3,E,0.15735409
blstm,k5,r0,3,F,0.15764879
blstm,k5,r0,3,C,0.15512042
blstm,k5,r0,3,D,0.15759604
blstm,k5,r0,3,G,0.15667509
blstm,k5,r0,4,E,0.15631898
blstm,k5,r0,4,F,0.15830469
blstm,k5,r0,4,C,0.15687385
blstm,k5,r0,4,D,0.15858613
blstm,k5,r0,4,G,0.15619813
blstm,k5,r0,5,E,0.1558392
blstm,k5,r0,5,F,0.15701821
blstm,k5,r0,5,C,0.15719517
blstm,k5,r0,5,D,0.15809567
blstm,k5,r0,5,G,0.15801354
blstm,k5,r5,0,E,0.16415708
blstm,k5,r5,0,F,0.16695975
blstm,k5,r5,0,C,0.16485131
blstm,k5,r5,0,D,0.16322483
blstm,k5,r5,0,G,0.16201352
blstm,k5,r5,1,E,0.16174509
blstm,k5,r5,1,F,0.16384435
blstm,k5,r5,1,C,0.16394417
blstm,k5,r5,1,D,0.16525127
blstm,k5,r5,1,G,0.16225235
blstm,k5,r5,2,E,0.16533077
blstm,k5,r5,2,F,0.16480541
blstm,k5,r5,2,C,0.16269039
blstm,k5,r5,2,D,0.16244838
blstm,k5,r5,2,G,0.1644452
blstm,k5,r5,3,E,0.16377246
blstm,k5,r5,3,F,0.16314065
blstm,k5,r5,3,C,0.16210265
blstm,k5,r5,3,D,0.16548887
blstm,k5,r5,3,G,0.16418588
blstm,k5,r5,4,E,0.16510412
blstm,k5,r5,4,F,0.16442256
blstm,k5,r5,4,C,0.16272724
blstm,k5,r5,4,D,0.16523066
blstm,k5,r5,4,G,0.16564573
blstm,k5,r5,5,E,0.16062114
blstm,k5,r5,5,F,0.16004857
blstm,k5,r5,5,C,0.16362005
blstm,k5,r5,5,D,0.16218643
blstm,k5,r5,5,G,0.16317666
blstm,k5,r6,0,E,0.15880866
blstm,k5,r6,0,F,0.15812626
blstm,k5,r6,0,C,0.16052163
blstm,k5,r6,0,D,0.15999271
blstm,k5,r6,0,G,0.1606953
blstm,k5,r6,1,E,0.15847407
blstm,k5,r6,1,F,0.15837145
blstm,k5,r6,1,C,0.15900068
blstm,k5,r6,1,D,0.16106898
blstm,k5,r6,1,G,0.15765725
blstm,k5,r6,2,E,0.15853973
blstm,k5,r6,2,F,0.1571785
blstm,k5,r6,2,C,0.15805292
blstm,k5,r6,2,D,0.1560276
blstm,k5,r6,2,G,0.15705058
blstm,k5,r6,3,E,0.15552501
blstm,k5,r6,3,F,0.16044258
blstm,k5,r6,3,C,0.1587892
blstm,k5,r6,3,D,0.15916333
blstm,k5,r6,3,G,0.15800904
blstm,k5,r6,4,E,0.15713085
blstm,k5,r6,4,F,0.15763146
blstm,k5,r6,4,C,0.15851134
blstm,k5,r6,4,D,0.15804416
blstm,k5,r6,4,G,0.1573045
blstm,k5,r6,5,E,0.15813966
blstm,k5,r6,5,F,0.16035777
blstm,k5,r6,5,C,0.1582277
blstm,k5,r6,5,D,0.15820928
blstm,k5,r6,5,G,0.15871668
blstm,k5,r4,0,E,0.15942545
blstm,k5,r4,0,F,0.16147026
blstm,k5,r4,0,C,0.16103543
blstm,k5,r4,0,D,0.15980394
blstm,k5,r4,0,G,0.16003047
blstm,k5,r4,1,E,0.16073537
